,0
0,"Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite."
1,"And Thee would man praise; man, but a particle of Thy creation; man, that bears about him his mortality, the witness of his sin, the witness that Thou resistest the proud: yet would man praise Thee; he, but a particle of Thy creation."
2,"Thou awakest us to delight in Thy praise; for Thou madest us for Thyself, and our heart is restless, until it repose in Thee."
3,"Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?"
4,"and, again, to know Thee or to call on Thee?"
5,"for who can call on Thee, not knowing Thee?"
6,"for he that knoweth Thee not, may call on Thee as other than Thou art."
7,"Or, is it rather, that we call on Thee that we may know Thee?"
8,but how shall they call on Him in whom they have not believed?
9,or how shall they believe without a preacher?
10,"and they that seek the Lord shall praise Him: for they that seek shall find Him, and they that find shall praise Him."
11,"I will seek Thee, Lord, by calling on Thee; and will call on Thee, believing in Thee; for to us hast Thou been preached."
12,"My faith, Lord, shall call on Thee, which Thou hast given me, wherewith Thou hast inspired me, through the Incarnation of Thy Son, through the ministry of the Preacher."
13,"And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?"
14,"and what room is there within me, whither my God can come into me?"
15,"whither can God come into me, God who made heaven and earth?"
16,"is there, indeed, O Lord my God, aught in me that can contain Thee?"
17,"do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?"
18,"or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?"
19,"Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?"
20,Why?
21,"because I am not gone down in hell, and yet Thou art there also."
22,"For if I go down into hell, Thou art there."
23,"I could not be then, O my God, could not be at all, wert Thou not in me; or, rather, unless I were in Thee, of whom are all things, by whom are all things, in whom are all things?"
24,"Even so, Lord, even so."
25,"Whither do I call Thee, since I am in Thee?"
26,or whence canst Thou enter into me?
27,"for whither can I go beyond heaven and earth, that thence my God should come into me, who hath said, I fill the heaven and the earth."
28,"Do the heaven and earth then contain Thee, since Thou fillest them?"
29,"or dost Thou fill them and yet overflow, since they do not contain Thee?"
30,"And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?"
