,0
0,"Achilles’ wrath, to Greece the direful spring Of woes unnumber’d, heavenly goddess, sing!"
1,"That wrath which hurl’d to Pluto’s gloomy reign The souls of mighty chiefs untimely slain; Whose limbs unburied on the naked shore, Devouring dogs and hungry vultures tore."
2,"[41] Since great Achilles and Atrides strove, Such was the sovereign doom, and such the will of Jove!"
3,"[42]  Declare, O Muse!"
4,"in what ill-fated hour[43] Sprung the fierce strife, from what offended power Latona’s son a dire contagion spread,[44] And heap’d the camp with mountains of the dead; The king of men his reverent priest defied,[45] And for the king’s offence the people died."
5,For Chryses sought with costly gifts to gain His captive daughter from the victor’s chain.
6,"Suppliant the venerable father stands; Apollo’s awful ensigns grace his hands: By these he begs; and lowly bending down, Extends the sceptre and the laurel crown."
7,"He sued to all, but chief implored for grace The brother-kings, of Atreus’ royal race[46]  “Ye kings and warriors!"
8,"may your vows be crown’d, And Troy’s proud walls lie level with the ground."
9,May Jove restore you when your toils are o’er Safe to the pleasures of your native shore.
10,"But, oh!"
11,"relieve a wretched parent’s pain, And give Chryseïs to these arms again; If mercy fail, yet let my presents move, And dread avenging Phœbus, son of Jove.”  The Greeks in shouts their joint assent declare, The priest to reverence, and release the fair."
12,"Not so Atrides; he, with kingly pride, Repulsed the sacred sire, and thus replied: “Hence on thy life, and fly these hostile plains, Nor ask, presumptuous, what the king detains:  Hence, with thy laurel crown, and golden rod, Nor trust too far those ensigns of thy god."
13,"Mine is thy daughter, priest, and shall remain; And prayers, and tears, and bribes, shall plead in vain; Till time shall rifle every youthful grace, And age dismiss her from my cold embrace, In daily labours of the loom employ’d, Or doom’d to deck the bed she once enjoy’d."
14,"Hence then; to Argos shall the maid retire, Far from her native soil and weeping sire.”   [Illustration: ] HOMER INVOKING THE MUSE   The trembling priest along the shore return’d, And in the anguish of a father mourn’d."
15,"Disconsolate, not daring to complain, Silent he wander’d by the sounding main; Till, safe at distance, to his god he prays, The god who darts around the world his rays."
16,“O Smintheus!
17,"sprung from fair Latona’s line,[47] Thou guardian power of Cilla the divine,[48] Thou source of light!"
18,"whom Tenedos adores, And whose bright presence gilds thy Chrysa’s shores."
19,"If e’er with wreaths I hung thy sacred fane,[49] Or fed the flames with fat of oxen slain; God of the silver bow!"
20,"thy shafts employ, Avenge thy servant, and the Greeks destroy.”  Thus Chryses pray’d:—the favouring power attends, And from Olympus’ lofty tops descends."
21,"Bent was his bow, the Grecian hearts to wound;[50] Fierce as he moved, his silver shafts resound."
22,"Breathing revenge, a sudden night he spread, And gloomy darkness roll’d about his head."
23,"The fleet in view, he twang’d his deadly bow, And hissing fly the feather’d fates below."
24,"On mules and dogs the infection first began;[51] And last, the vengeful arrows fix’d in man."
25,"For nine long nights, through all the dusky air, The pyres, thick-flaming, shot a dismal glare."
26,"But ere the tenth revolving day was run, Inspired by Juno, Thetis’ godlike son Convened to council all the Grecian train; For much the goddess mourn’d her heroes slain."
27,"[52] The assembly seated, rising o’er the rest, Achilles thus the king of men address’d:  “Why leave we not the fatal Trojan shore, And measure back the seas we cross’d before?"
28,"The plague destroying whom the sword would spare, ’Tis time to save the few remains of war."
29,"But let some prophet, or some sacred sage, Explore the cause of great Apollo’s rage; Or learn the wasteful vengeance to remove By mystic dreams, for dreams descend from Jove."
30,"[53] If broken vows this heavy curse have laid, Let altars smoke, and hecatombs be paid."
31,"So Heaven, atoned, shall dying Greece restore, And Phœbus dart his burning shafts no more.”  He said, and sat: when Chalcas thus replied; Chalcas the wise, the Grecian priest and guide, That sacred seer, whose comprehensive view, The past, the present, and the future knew: Uprising slow, the venerable sage Thus spoke the prudence and the fears of age:  “Beloved of Jove, Achilles!"
32,would’st thou know Why angry Phœbus bends his fatal bow?
33,"First give thy faith, and plight a prince’s word Of sure protection, by thy power and sword: For I must speak what wisdom would conceal, And truths, invidious to the great, reveal, Bold is the task, when subjects, grown too wise, Instruct a monarch where his error lies; For though we deem the short-lived fury past, ’Tis sure the mighty will revenge at last.” To whom Pelides:—“From thy inmost soul Speak what thou know’st, and speak without control."
34,"E’en by that god I swear who rules the day, To whom thy hands the vows of Greece convey."
35,"And whose bless’d oracles thy lips declare; Long as Achilles breathes this vital air, No daring Greek, of all the numerous band, Against his priest shall lift an impious hand; Not e’en the chief by whom our hosts are led, The king of kings, shall touch that sacred head.”  Encouraged thus, the blameless man replies: “Nor vows unpaid, nor slighted sacrifice, But he, our chief, provoked the raging pest, Apollo’s vengeance for his injured priest."
36,"Nor will the god’s awaken’d fury cease, But plagues shall spread, and funeral fires increase, Till the great king, without a ransom paid, To her own Chrysa send the black-eyed maid."
37,"[54] Perhaps, with added sacrifice and prayer, The priest may pardon, and the god may spare.”  The prophet spoke: when with a gloomy frown The monarch started from his shining throne; Black choler fill’d his breast that boil’d with ire, And from his eye-balls flash’d the living fire: “Augur accursed!"
38,"denouncing mischief still, Prophet of plagues, for ever boding ill!"
39,"Still must that tongue some wounding message bring, And still thy priestly pride provoke thy king?"
40,"For this are Phœbus’ oracles explored, To teach the Greeks to murmur at their lord?"
41,"For this with falsehood is my honour stain’d, Is heaven offended, and a priest profaned; Because my prize, my beauteous maid, I hold, And heavenly charms prefer to proffer’d gold?"
42,"A maid, unmatch’d in manners as in face, Skill’d in each art, and crown’d with every grace; Not half so dear were Clytæmnestra’s charms, When first her blooming beauties bless’d my arms."
43,"Yet, if the gods demand her, let her sail; Our cares are only for the public weal: Let me be deem’d the hateful cause of all, And suffer, rather than my people fall."
44,"The prize, the beauteous prize, I will resign, So dearly valued, and so justly mine."
45,"But since for common good I yield the fair, My private loss let grateful Greece repair; Nor unrewarded let your prince complain, That he alone has fought and bled in vain.” “Insatiate king (Achilles thus replies), Fond of the power, but fonder of the prize!"
46,"Would’st thou the Greeks their lawful prey should yield, The due reward of many a well-fought field?"
47,"The spoils of cities razed and warriors slain, We share with justice, as with toil we gain; But to resume whate’er thy avarice craves (That trick of tyrants) may be borne by slaves."
48,"Yet if our chief for plunder only fight, The spoils of Ilion shall thy loss requite, Whene’er, by Jove’s decree, our conquering powers Shall humble to the dust her lofty towers.”  Then thus the king: “Shall I my prize resign With tame content, and thou possess’d of thine?"
49,"Great as thou art, and like a god in fight, Think not to rob me of a soldier’s right."
50,At thy demand shall I restore the maid?
51,"First let the just equivalent be paid; Such as a king might ask; and let it be A treasure worthy her, and worthy me."
52,"Or grant me this, or with a monarch’s claim This hand shall seize some other captive dame."
53,"The mighty Ajax shall his prize resign;[55] Ulysses’ spoils, or even thy own, be mine."
54,"The man who suffers, loudly may complain; And rage he may, but he shall rage in vain."
55,"But this when time requires.—It now remains We launch a bark to plough the watery plains, And waft the sacrifice to Chrysa’s shores, With chosen pilots, and with labouring oars."
56,"Soon shall the fair the sable ship ascend, And some deputed prince the charge attend: This Creta’s king, or Ajax shall fulfil, Or wise Ulysses see perform’d our will; Or, if our royal pleasure shall ordain, Achilles’ self conduct her o’er the main; Let fierce Achilles, dreadful in his rage, The god propitiate, and the pest assuage.”   [Illustration: ] MARS   At this, Pelides, frowning stern, replied: “O tyrant, arm’d with insolence and pride!"
57,"Inglorious slave to interest, ever join’d With fraud, unworthy of a royal mind!"
58,"What generous Greek, obedient to thy word, Shall form an ambush, or shall lift the sword?"
59,What cause have I to war at thy decree?
60,"The distant Trojans never injured me; To Phthia’s realms no hostile troops they led: Safe in her vales my warlike coursers fed; Far hence removed, the hoarse-resounding main, And walls of rocks, secure my native reign, Whose fruitful soil luxuriant harvests grace, Rich in her fruits, and in her martial race."
61,"Hither we sail’d, a voluntary throng, To avenge a private, not a public wrong: What else to Troy the assembled nations draws, But thine, ungrateful, and thy brother’s cause?"
62,Is this the pay our blood and toils deserve; Disgraced and injured by the man we serve?
63,"And darest thou threat to snatch my prize away, Due to the deeds of many a dreadful day?"
64,"A prize as small, O tyrant!"
65,"match’d with thine, As thy own actions if compared to mine."
66,"Thine in each conquest is the wealthy prey, Though mine the sweat and danger of the day."
67,Some trivial present to my ships I bear: Or barren praises pay the wounds of war.
68,"But know, proud monarch, I’m thy slave no more; My fleet shall waft me to Thessalia’s shore: Left by Achilles on the Trojan plain, What spoils, what conquests, shall Atrides gain?”  To this the king: “Fly, mighty warrior!"
69,"fly; Thy aid we need not, and thy threats defy."
70,"There want not chiefs in such a cause to fight, And Jove himself shall guard a monarch’s right."
71,"Of all the kings (the god’s distinguish’d care) To power superior none such hatred bear: Strife and debate thy restless soul employ, And wars and horrors are thy savage joy, If thou hast strength, ’twas Heaven that strength bestow’d; For know, vain man!"
72,thy valour is from God.
73,"Haste, launch thy vessels, fly with speed away; Rule thy own realms with arbitrary sway; I heed thee not, but prize at equal rate Thy short-lived friendship, and thy groundless hate."
74,"Go, threat thy earth-born Myrmidons:—but here[56] ’Tis mine to threaten, prince, and thine to fear."
75,"Know, if the god the beauteous dame demand, My bark shall waft her to her native land; But then prepare, imperious prince!"
76,"prepare, Fierce as thou art, to yield thy captive fair: Even in thy tent I’ll seize the blooming prize, Thy loved Briseïs with the radiant eyes."
77,"Hence shalt thou prove my might, and curse the hour Thou stood’st a rival of imperial power; And hence, to all our hosts it shall be known, That kings are subject to the gods alone.”  Achilles heard, with grief and rage oppress’d, His heart swell’d high, and labour’d in his breast; Distracting thoughts by turns his bosom ruled; Now fired by wrath, and now by reason cool’d: That prompts his hand to draw the deadly sword, Force through the Greeks, and pierce their haughty lord; This whispers soft his vengeance to control, And calm the rising tempest of his soul."
78,"Just as in anguish of suspense he stay’d, While half unsheathed appear’d the glittering blade,[57] Minerva swift descended from above, Sent by the sister and the wife of Jove (For both the princes claim’d her equal care); Behind she stood, and by the golden hair Achilles seized; to him alone confess’d; A sable cloud conceal’d her from the rest."
79,"He sees, and sudden to the goddess cries, Known by the flames that sparkle from her eyes:   [Illustration: ] MINERVA REPRESSING THE FURY OF ACHILLES   “Descends Minerva, in her guardian care, A heavenly witness of the wrongs I bear From Atreus’ son?—Then let those eyes that view The daring crime, behold the vengeance too.”  “Forbear (the progeny of Jove replies) To calm thy fury I forsake the skies: Let great Achilles, to the gods resign’d, To reason yield the empire o’er his mind."
80,By awful Juno this command is given; The king and you are both the care of heaven.
81,"The force of keen reproaches let him feel; But sheathe, obedient, thy revenging steel."
82,"For I pronounce (and trust a heavenly power) Thy injured honour has its fated hour, When the proud monarch shall thy arms implore, And bribe thy friendship with a boundless store."
83,"Then let revenge no longer bear the sway; Command thy passions, and the gods obey.”  To her Pelides:—“With regardful ear, ’Tis just, O goddess!"
84,I thy dictates hear.
85,"Hard as it is, my vengeance I suppress: Those who revere the gods the gods will bless.” He said, observant of the blue-eyed maid; Then in the sheath return’d the shining blade."
86,"The goddess swift to high Olympus flies, And joins the sacred senate of the skies."
87,"Nor yet the rage his boiling breast forsook, Which thus redoubling on Atrides broke: “O monster!"
88,"mix’d of insolence and fear, Thou dog in forehead, but in heart a deer!"
89,"When wert thou known in ambush’d fights to dare, Or nobly face the horrid front of war?"
90,"’Tis ours, the chance of fighting fields to try; Thine to look on, and bid the valiant die: So much ’tis safer through the camp to go, And rob a subject, than despoil a foe."
91,"Scourge of thy people, violent and base!"
92,"Sent in Jove’s anger on a slavish race; Who, lost to sense of generous freedom past, Are tamed to wrongs;—or this had been thy last."
93,"Now by this sacred sceptre hear me swear, Which never more shall leaves or blossoms bear, Which sever’d from the trunk (as I from thee) On the bare mountains left its parent tree; This sceptre, form’d by temper’d steel to prove An ensign of the delegates of Jove, From whom the power of laws and justice springs (Tremendous oath!"
94,"inviolate to kings); By this I swear:—when bleeding Greece again Shall call Achilles, she shall call in vain."
95,"When, flush’d with slaughter, Hector comes to spread The purpled shore with mountains of the dead, Then shalt thou mourn the affront thy madness gave, Forced to deplore when impotent to save: Then rage in bitterness of soul to know This act has made the bravest Greek thy foe.”  He spoke; and furious hurl’d against the ground His sceptre starr’d with golden studs around: Then sternly silent sat."
96,With like disdain The raging king return’d his frowns again.
97,"To calm their passion with the words of age, Slow from his seat arose the Pylian sage, Experienced Nestor, in persuasion skill’d; Words, sweet as honey, from his lips distill’d:[58] Two generations now had pass’d away, Wise by his rules, and happy by his sway; Two ages o’er his native realm he reign’d, And now the example of the third remain’d."
98,"All view’d with awe the venerable man; Who thus with mild benevolence began:—  “What shame, what woe is this to Greece!"
99,"what joy To Troy’s proud monarch, and the friends of Troy!"
100,"That adverse gods commit to stern debate The best, the bravest, of the Grecian state."
101,"Young as ye are, this youthful heat restrain, Nor think your Nestor’s years and wisdom vain."
102,"A godlike race of heroes once I knew, Such as no more these aged eyes shall view!"
103,"Lives there a chief to match Pirithous’ fame, Dryas the bold, or Ceneus’ deathless name; Theseus, endued with more than mortal might, Or Polyphemus, like the gods in fight?"
104,"With these of old, to toils of battle bred, In early youth my hardy days I led; Fired with the thirst which virtuous envy breeds, And smit with love of honourable deeds, Strongest of men, they pierced the mountain boar, Ranged the wild deserts red with monsters’ gore, And from their hills the shaggy Centaurs tore: Yet these with soft persuasive arts I sway’d; When Nestor spoke, they listen’d and obey’d."
105,"If in my youth, even these esteem’d me wise; Do you, young warriors, hear my age advise."
106,"Atrides, seize not on the beauteous slave; That prize the Greeks by common suffrage gave: Nor thou, Achilles, treat our prince with pride; Let kings be just, and sovereign power preside."
107,"Thee, the first honours of the war adorn, Like gods in strength, and of a goddess born; Him, awful majesty exalts above The powers of earth, and sceptred sons of Jove."
108,"Let both unite with well-consenting mind, So shall authority with strength be join’d."
109,"Leave me, O king!"
110,"to calm Achilles’ rage; Rule thou thyself, as more advanced in age."
111,"Forbid it, gods!"
112,"Achilles should be lost, The pride of Greece, and bulwark of our host.”  This said, he ceased."
113,"The king of men replies: “Thy years are awful, and thy words are wise."
114,"But that imperious, that unconquer’d soul, No laws can limit, no respect control."
115,"Before his pride must his superiors fall; His word the law, and he the lord of all?"
116,"Him must our hosts, our chiefs, ourself obey?"
117,What king can bear a rival in his sway?
118,"Grant that the gods his matchless force have given; Has foul reproach a privilege from heaven?”  Here on the monarch’s speech Achilles broke, And furious, thus, and interrupting spoke: “Tyrant, I well deserved thy galling chain, To live thy slave, and still to serve in vain, Should I submit to each unjust decree:— Command thy vassals, but command not me."
119,"Seize on Briseïs, whom the Grecians doom’d My prize of war, yet tamely see resumed; And seize secure; no more Achilles draws His conquering sword in any woman’s cause."
120,"The gods command me to forgive the past: But let this first invasion be the last: For know, thy blood, when next thou darest invade, Shall stream in vengeance on my reeking blade.”  At this they ceased: the stern debate expired: The chiefs in sullen majesty retired."
121,Achilles with Patroclus took his way Where near his tents his hollow vessels lay.
122,"Meantime Atrides launch’d with numerous oars A well-rigg’d ship for Chrysa’s sacred shores: High on the deck was fair Chryseïs placed, And sage Ulysses with the conduct graced: Safe in her sides the hecatomb they stow’d, Then swiftly sailing, cut the liquid road."
123,"The host to expiate next the king prepares, With pure lustrations, and with solemn prayers."
124,"Wash’d by the briny wave, the pious train[59] Are cleansed; and cast the ablutions in the main."
125,"Along the shore whole hecatombs were laid, And bulls and goats to Phœbus’ altars paid; The sable fumes in curling spires arise, And waft their grateful odours to the skies."
126,"The army thus in sacred rites engaged, Atrides still with deep resentment raged."
127,"To wait his will two sacred heralds stood, Talthybius and Eurybates the good."
128,"“Haste to the fierce Achilles’ tent (he cries), Thence bear Briseïs as our royal prize: Submit he must; or if they will not part, Ourself in arms shall tear her from his heart.”  The unwilling heralds act their lord’s commands; Pensive they walk along the barren sands: Arrived, the hero in his tent they find, With gloomy aspect on his arm reclined."
129,"At awful distance long they silent stand, Loth to advance, and speak their hard command; Decent confusion!"
130,"This the godlike man Perceived, and thus with accent mild began:  “With leave and honour enter our abodes, Ye sacred ministers of men and gods!"
131,"[60] I know your message; by constraint you came; Not you, but your imperious lord I blame."
132,"Patroclus, haste, the fair Briseïs bring; Conduct my captive to the haughty king."
133,"But witness, heralds, and proclaim my vow, Witness to gods above, and men below!"
134,"But first, and loudest, to your prince declare (That lawless tyrant whose commands you bear), Unmoved as death Achilles shall remain, Though prostrate Greece shall bleed at every vein: The raging chief in frantic passion lost, Blind to himself, and useless to his host, Unskill’d to judge the future by the past, In blood and slaughter shall repent at last.”   [Illustration: ] THE DEPARTURE OF BRISEIS FROM THE TENT OF ACHILLES   Patroclus now the unwilling beauty brought; She, in soft sorrows, and in pensive thought, Pass’d silent, as the heralds held her hand, And oft look’d back, slow-moving o’er the strand."
135,"Not so his loss the fierce Achilles bore; But sad, retiring to the sounding shore, O’er the wild margin of the deep he hung, That kindred deep from whence his mother sprung:[61] There bathed in tears of anger and disdain, Thus loud lamented to the stormy main:  “O parent goddess!"
136,"since in early bloom Thy son must fall, by too severe a doom; Sure to so short a race of glory born, Great Jove in justice should this span adorn: Honour and fame at least the thunderer owed; And ill he pays the promise of a god, If yon proud monarch thus thy son defies, Obscures my glories, and resumes my prize.”  Far from the deep recesses of the main, Where aged Ocean holds his watery reign, The goddess-mother heard."
137,"The waves divide; And like a mist she rose above the tide; Beheld him mourning on the naked shores, And thus the sorrows of his soul explores."
138,“Why grieves my son?
139,"Thy anguish let me share; Reveal the cause, and trust a parent’s care.”  He deeply sighing said: “To tell my woe Is but to mention what too well you know."
140,"From Thebé, sacred to Apollo’s name[62] (Aëtion’s realm), our conquering army came, With treasure loaded and triumphant spoils, Whose just division crown’d the soldier’s toils; But bright Chryseïs, heavenly prize!"
141,"was led, By vote selected, to the general’s bed."
142,"The priest of Phœbus sought by gifts to gain His beauteous daughter from the victor’s chain; The fleet he reach’d, and, lowly bending down, Held forth the sceptre and the laurel crown, Intreating all; but chief implored for grace The brother-kings of Atreus’ royal race: The generous Greeks their joint consent declare, The priest to reverence, and release the fair; Not so Atrides: he, with wonted pride, The sire insulted, and his gifts denied: The insulted sire (his god’s peculiar care) To Phœbus pray’d, and Phœbus heard the prayer: A dreadful plague ensues: the avenging darts Incessant fly, and pierce the Grecian hearts."
143,"A prophet then, inspired by heaven, arose, And points the crime, and thence derives the woes: Myself the first the assembled chiefs incline To avert the vengeance of the power divine; Then rising in his wrath, the monarch storm’d; Incensed he threaten’d, and his threats perform’d: The fair Chryseïs to her sire was sent, With offer’d gifts to make the god relent; But now he seized Briseïs’ heavenly charms, And of my valour’s prize defrauds my arms, Defrauds the votes of all the Grecian train;[63] And service, faith, and justice, plead in vain."
144,"But, goddess!"
145,thou thy suppliant son attend.
146,"To high Olympus’ shining court ascend, Urge all the ties to former service owed, And sue for vengeance to the thundering god."
147,"Oft hast thou triumph’d in the glorious boast, That thou stood’st forth of all the ethereal host, When bold rebellion shook the realms above, The undaunted guard of cloud-compelling Jove: When the bright partner of his awful reign, The warlike maid, and monarch of the main, The traitor-gods, by mad ambition driven, Durst threat with chains the omnipotence of Heaven."
148,"Then, call’d by thee, the monster Titan came (Whom gods Briareus, men Ægeon name), Through wondering skies enormous stalk’d along; Not he that shakes the solid earth so strong: With giant-pride at Jove’s high throne he stands, And brandish’d round him all his hundred hands: The affrighted gods confess’d their awful lord, They dropp’d the fetters, trembled, and adored."
149,"[64] This, goddess, this to his remembrance call, Embrace his knees, at his tribunal fall; Conjure him far to drive the Grecian train, To hurl them headlong to their fleet and main, To heap the shores with copious death, and bring The Greeks to know the curse of such a king."
150,"Let Agamemnon lift his haughty head O’er all his wide dominion of the dead, And mourn in blood that e’er he durst disgrace The boldest warrior of the Grecian race.”   [Illustration: ] THETIS CALLING BRIAREUS TO THE ASSISTANCE OF JUPITER   “Unhappy son!"
151,"(fair Thetis thus replies, While tears celestial trickle from her eyes) Why have I borne thee with a mother’s throes, To Fates averse, and nursed for future woes?"
152,[65] So short a space the light of heaven to view!
153,So short a space!
154,and fill’d with sorrow too!
