,0
0,"Human reason, in one sphere of its cognition, is called upon to consider questions, which it cannot decline, as they are presented by its own nature, but which it cannot answer, as they transcend every faculty of the mind."
1,It falls into this difficulty without any fault of its own.
2,"It begins with principles, which cannot be dispensed with in the field of experience, and the truth and sufficiency of which are, at the same time, insured by experience."
3,"With these principles it rises, in obedience to the laws of its own nature, to ever higher and more remote conditions."
4,"But it quickly discovers that, in this way, its labours must remain ever incomplete, because new questions never cease to present themselves; and thus it finds itself compelled to have recourse to principles which transcend the region of experience, while they are regarded by common sense without distrust."
5,"It thus falls into confusion and contradictions, from which it conjectures the presence of latent errors, which, however, it is unable to discover, because the principles it employs, transcending the limits of experience, cannot be tested by that criterion."
6,The arena of these endless contests is called _Metaphysic_.
7,"Time was, when she was the _queen_ of all the sciences; and, if we take the will for the deed, she certainly deserves, so far as regards the high importance of her object-matter, this title of honour."
8,"Now, it is the fashion of the time to heap contempt and scorn upon her; and the matron mourns, forlorn and forsaken, like Hecuba:  Modo maxima rerum, Tot generis, natisque potens... Nunc trahor exul, inops."
9,"âOvid, Metamorphoses."
10,"xiii   At first, her government, under the administration of the _dogmatists_, was an absolute _despotism_."
11,"But, as the legislative continued to show traces of the ancient barbaric rule, her empire gradually broke up, and intestine wars introduced the reign of _anarchy;_ while the _sceptics_, like nomadic tribes, who hate a permanent habitation and settled mode of living, attacked from time to time those who had organized themselves into civil communities."
12,"But their number was, very happily, small; and thus they could not entirely put a stop to the exertions of those who persisted in raising new edifices, although on no settled or uniform plan."
13,"In recent times the hope dawned upon us of seeing those disputes settled, and the legitimacy of her claims established by a kind of _physiology_ of the human understandingâthat of the celebrated Locke."
14,"But it was found thatâalthough it was affirmed that this so-called queen could not refer her descent to any higher source than that of common experience, a circumstance which necessarily brought suspicion on her claimsâas this _genealogy_ was incorrect, she persisted in the advancement of her claims to sovereignty."
15,"Thus metaphysics necessarily fell back into the antiquated and rotten constitution of _dogmatism_, and again became obnoxious to the contempt from which efforts had been made to save it."
16,"At present, as all methods, according to the general persuasion, have been tried in vain, there reigns nought but weariness and complete _indifferentism_âthe mother of chaos and night in the scientific world, but at the same time the source of, or at least the prelude to, the re-creation and reinstallation of a science, when it has fallen into confusion, obscurity, and disuse from ill directed effort."
17,"For it is in reality vain to profess _indifference_ in regard to such inquiries, the object of which cannot be indifferent to humanity."
18,"Besides, these pretended _indifferentists_, however much they may try to disguise themselves by the assumption of a popular style and by changes on the language of the schools, unavoidably fall into metaphysical declarations and propositions, which they profess to regard with so much contempt."
19,"At the same time, this indifference, which has arisen in the world of science, and which relates to that kind of knowledge which we should wish to see destroyed the last, is a phenomenon that well deserves our attention and reflection."
20,"It is plainly not the effect of the levity, but of the matured _judgement_[1] of the age, which refuses to be any longer entertained with illusory knowledge, It is, in fact, a call to reason, again to undertake the most laborious of all tasksâthat of self-examination, and to establish a tribunal, which may secure it in its well-grounded claims, while it pronounces against all baseless assumptions and pretensions, not in an arbitrary manner, but according to its own eternal and unchangeable laws."
